places	monuments	museums	hill stations 	beaches	wildlife	resort	religious	others
Agra (Uttar Pradesh)	9	6	1	0	1	1	5	9
Ahmedabad (Gujarat)	5	2	2	0	2	2	2	8
Allahabad (Uttar Pradesh)	3	3	1	0	1	0	5	7
Amritsar (Punjab)	4	3	1	0	2	2	4	6
Aurangabad (Maharashtra)	3	2	1	0	2	1	4	5
Bangalore (Karnataka)	2	3	2	0	1	3	2	4
Bhopal (Madhya Pradesh)	1	1	0	0	5	1	2	3
Chandigarh (Chandigarh)	5	2	2	0	2	2	3	2
Chennai (Tamil Nadu)	6	5	3	7	5	6	2	1
Coimbatore (Tamil Nadu)	4	3	2	0	2	2	3	1
Delhi (NCT)	7	6	0	0	2	6	4	2
Dombivli (Maharashtra)	2	1	3	0	1	1	4	3
Faridabad (Haryana)	1	5	0	0	4	2	3	4
Ghaziabad (Uttar Pradesh)	2	3	0	0	3	1	3	5
Gorakhpur (UP)	1	4	0	0	2	1	2	6
Guwahati (Assam)	4	3	5	0	1	2	3	7
Gwalior (Madhya Pradesh)	2	5	1	0	3	1	3	8
Haora (West Bengal)	3	2	1	0	3	2	3	9
Hyderabad (Telangana)	1	2	1	0	2	4	5	2
Indore (Madhya Pradesh)	1	2	0	0	3	2	2	4
Jabalpur (Madhya Pradesh)	2	3	0	0	3	1	2	6
Jaipur (Rajasthan)	3	4	1	0	2	4	4	7
Jodhpur (Rajasthan)	4	2	1	0	2	5	3	1
Kalyan (Maharashtra)	2	1	0	0	1	2	2	3
Kanpur (Uttar Pradesh)	2	2	0	0	2	1	5	5
Kolkata (West Bengal)	5	3	0	0	2	5	4	7
Lucknow (Uttar Pradesh)	5	2	0	0	1	2	6	9
Ludhiana (Punjab)	3	2	0	0	2	1	4	1
Madurai (Tamil Nadu)	4	2	1	0	4	2	4	4
Meerut (Uttar Pradesh)	3	1	0	0	1	2	3	7
Mumbai (Maharashtra)	4	2	1	5	1	6	4	0
Mysore (Karnataka)	4	3	2	0	2	2	3	2
Nagpur (Maharashtra)	2	2	0	0	5	1	4	5
Nashik (Maharashtra)	1	0	1	0	2	2	3	8
Navi Mumbai (Maharashtra)	2	1	1	2	2	1	2	1
Nowrangapur (Odisha)	4	2	0	0	3	3	4	3
Patna (Bihar)	1	1	0	0	2	2	3	5
Pimpri (Maharashtra)	1	1	0	0	1	1	2	7
Pune (Maharashtra)	1	2	0	0	2	2	3	9
Rajkot (Gujarat)	4	1	0	0	0	1	2	2
Shivaji Nagar (Maharashtra)	2	1	1	0	2	2	3	4
Solapur (Maharashtra)	3	2	3	0	1	1	2	6
Srinagar (Kashmir)	2	0	7	0	1	2	4	8
Surat (Gujarat)	2	1	0	0	2	2	3	1
Teni (Tamil Nadu)	3	1	0	0	1	1	2	4
Thane (Maharashtra)	4	2	0	0	1	2	3	3
Vadodara (Gujarat)	4	2	0	0	1	1	3	6
Varanasi (Uttar Pradesh)	5	3	0	0	0	2	7	4
Vijayawada (Andhra Pradesh)	2	2	2	0	0	3	3	2
Visakhapatnam (Andhra Pradesh)	1	2	2	8	0	5	3	8
